Row,0K8,0M6,0Q5,1C5,1C7,1E2,1O7,1P0,1P4,1R1,24V,25P,2C3,2C4,2F2,2J7,2R9,37V,3F5,3F7,3G3,3Q3,3R0,3R9,44V,4D8,4F1,4M9,4P6,4Q4,51V,55J,5H4,5M5,60R,62R,6C2,6D4,6D6,6D9,6K6,6L1,6M7,6O7,76J,7F0,7I8,7J7,83Z,86Z,8I9,8L3,8O9,93O,9I8,9L9,9N6,9Q5
2C3,0,0,0,0,0,0,0,0,0,17.6288549722875,0,0,0,0,0,0,0,0,0,17.6288549722875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6288549722875,0,0,0,0,0,17.6288549722875,17.6288549722875,0,0,0,0,0,0,0,17.6288549722875,0,0
2C4,0,0,0,15.329439106337,15.329439106337,0,0,0,15.329439106337,0,0,0,0,0,15.329439106337,0,0,0,15.329439106337,0,0,0,0,0,15.329439106337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,0,0,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,15.329439106337,15.329439106337,0,0
2F2,0,0,0,0,16.0262317929886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0786953789659,0,0,0,0
2J7,0,0,0,15.329439106337,0,0,0,0,0,0,0,0,0,0,30.6588782126739,0,0,0,15.329439106337,0,0,0,0,0,0,0,15.329439106337,0,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,0,15.329439106337,0,0,0,0,0,0,0,15.329439106337,0,0,0,0,30.6588782126739,30.6588782126739,0,0
2R9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,0,0,0,15.329439106337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,0,15.329439106337,0,0,15.329439106337,0,0,0,0,0,0,0,0,0
3G3,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,0,0,0,0,15.329439106337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3R0,0,0,0,0,0,35.257709944575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3R9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,0,0,0,0
4D8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.329439106337,0,0,0,0,0,15.329439106337,0,30.6588782126739,0,15.329439106337,0,0,0,0,0,0,15.329439106337,0,0,15.329439106337,0,0,0,0,15.329439106337,30.6588782126739,0
4F1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0262317929886,0,0,0,0,0,0,16.0262317929886,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0262317929886,0,0,0,0,0,0,16.0262317929886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4M9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
